satisfaction with workload, satisfied with  work-life balance, mentally well and do not have anxiety ,satisfied with job profession ,satisfied  compensation ,family supports , satisfied with career and  opportunity,working hour, good relationship with peers , work is meaningful ,TOI (turnover intention),Closeness Coefficient,Category
2,2,2,2,3,3,3,4,2,2,1,0.543108472,Behavioral
4,4,4,4,3,3,4,3,3,4,0,0.562597001,Behavioral
2,2,2,2,2,2,2,4,2,2,1,0.509389784,Behavioral
2,2,2,2,2,2,2,4,2,2,1,0.509389784,Behavioral
4,2,2,4,4,2,4,3,4,2,0,0.500326289,Behavioral
3,4,4,4,4,3,4,2,3,4,0,0.433967686,Behavioral
2,2,2,2,2,2,2,3,2,2,1,0.384362782,Behavioral
2,3,2,2,2,2,2,4,2,2,1,0.519235842,Behavioral
2,2,2,2,2,2,2,4,2,2,1,0.509389784,Behavioral
4,4,4,4,4,4,4,3,4,4,0,0.59852923,Behavioral
2,2,2,2,2,3,2,4,3,2,1,0.527184875,Behavioral
2,3,5,2,3,3,3,4,2,4,0,0.609310104,Behavioral
4,4,4,4,4,4,4,3,4,4,0,0.59852923,Behavioral
2,2,2,2,2,2,2,4,2,2,1,0.509389784,Behavioral
2,2,2,2,2,2,2,5,3,3,1,0.603003515,Behavioral
2,2,3,2,2,2,3,5,3,2,1,0.618708939,Behavioral
4,4,3,4,4,4,4,2,3,4,0,0.449802346,Behavioral
2,2,2,2,2,2,3,4,2,3,1,0.523441697,Behavioral
3,4,5,4,4,5,4,3,3,4,0,0.595873701,Behavioral
3,4,5,4,3,3,4,2,4,4,0,0.443571634,Behavioral
4,4,4,4,4,3,3,2,4,4,0,0.449424396,Behavioral
3,4,4,4,4,4,4,3,3,4,0,0.572142302,Behavioral
4,4,4,4,4,4,4,2,4,4,0,0.471334573,Behavioral
2,2,2,2,2,2,2,4,2,2,1,0.509389784,Behavioral
4,4,5,3,5,3,5,3,4,5,0,0.612391923,Behavioral
4,4,4,4,4,4,4,3,4,4,0,0.59852923,Behavioral
1,2,4,3,2,2,2,5,3,4,1,0.621321471,Behavioral
4,4,4,4,4,4,4,2,4,4,0,0.471334573,Behavioral
4,4,5,4,5,4,5,2,5,5,0,0.516833747,Behavioral
2,2,2,2,3,3,3,4,2,2,1,0.543108472,Behavioral
4,4,4,3,4,4,4,2,3,3,0,0.452281209,Behavioral
4,5,4,4,4,4,5,2,4,4,1,0.490678098,Behavioral
4,4,4,4,4,4,4,2,3,3,0,0.459630576,Behavioral
4,4,4,4,3,4,4,2,4,4,0,0.457399883,Behavioral
2,2,2,2,2,2,2,4,2,2,1,0.509389784,Behavioral
4,4,4,3,4,3,3,2,4,4,0,0.441829659,Behavioral
5,5,4,4,3,4,3,1,3,4,1,0.393473813,Behavioral
2,2,2,2,3,3,3,4,2,3,1,0.549435339,Behavioral
2,2,2,2,2,3,2,4,3,2,1,0.527184875,Behavioral
4,3,4,4,4,4,4,2,3,4,0,0.454487682,Behavioral
4,3,4,4,4,4,3,2,4,4,0,0.451339858,Behavioral
2,2,2,2,2,2,2,5,2,2,1,0.591250463,Behavioral
4,4,4,3,3,3,3,2,4,3,0,0.420505772,Behavioral
4,4,4,4,4,4,4,3,4,4,0,0.59852923,Behavioral
4,4,4,4,4,4,4,3,4,4,0,0.59852923,Behavioral
2,2,3,2,2,2,2,5,3,2,1,0.610458358,Behavioral
2,2,2,2,3,2,2,4,2,3,1,0.528036859,Behavioral
4,4,4,4,4,4,4,3,4,4,0,0.59852923,Behavioral
4,4,4,4,4,4,4,2,3,3,0,0.459630576,Behavioral
4,4,4,4,4,4,4,3,4,4,0,0.59852923,Behavioral
4,5,4,5,4,4,5,2,3,4,1,0.491948781,Behavioral
4,4,4,4,4,3,3,2,4,4,0,0.449424396,Behavioral
4,4,4,4,4,3,4,2,3,4,0,0.452601336,Behavioral
3,5,3,3,3,4,3,2,4,5,1,0.424858697,Behavioral
4,4,4,4,4,4,3,2,4,4,0,0.462279525,Behavioral
2,2,2,2,2,2,2,4,2,2,1,0.509389784,Behavioral
4,4,4,4,4,5,4,2,4,4,0,0.483840461,Behavioral
3,4,4,5,3,4,3,2,4,4,0,0.438089987,Behavioral
3,4,4,4,4,4,4,2,4,4,1,0.45363673,Behavioral
3,3,4,4,2,5,3,2,5,5,0,0.434007506,Behavioral
4,4,5,4,2,5,4,2,4,4,1,0.473385461,Behavioral
